sample_id,tibetan_audio,chinese_text,tibetan_text
f6-La11_248,./TCST/wav/U-Tsang/f6-La11/f6-La11_248.wav,是全世界一切愿意中国强大的人。,ཀྲུང་གོ་འདི་ཉིད་སྟོབས་དང་ལྡན་པ་ཞིག་ཏུ་འགྱུར་བའི་རེ་བ་བྱེད་མཁན་གྱི་འཛམ་གླིང་ཡོངས་ཀྱི་མི་ཡིན།
f71-La16_295,./TCST/wav/U-Tsang/f71-La16/f71-La16_295.wav,关键是要通过加强教育培训和实践锻炼,གནད་འགག་ཐུག་ས་ནི་སློབ་གསོ་གསོ་སྐྱོང་དང་ལག་ལེན་སྦྱོང་བརྡར་བྱེད་ཤུགས་ཆེ་རུ་གཏོང་བར་བརྟེན།
m20-La40_83,./TCST/wav/U-Tsang/m20-La40/m20-La40_83.wav,就像在斑马的腿上一样。,རྟ་ཁྲའི་སུག་པའི་སྟེང་དུ་ཡོད་པ་དང་འདྲ་མཚུངས་ཡིན།
bodad-144,./TCST/wav/Amdo/bodad/bodad_144.wav,你看今天的新闻了吗,ཁྱོས་དེ་རིང་གི་གསར་འགྱུར་ལ་ཨེ་ལྟོས།
L_F_0_10_056,./TCST/wav/U-Tsang/L_F_0_10/L_F_0_10_056.wav,参合牧民县级医疗补助标准,མཉམ་ལས་སྨན་བཅོས་སུ་ཞུགས་པའི་འབྲོག་དམངས་ཀྱི་རྫོང་རིམ་པའི་སྨན་བཅོས་ཁ་གསབ་ཚད་གཞི།
L_F_0_02_312,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_312.wav,努力实现较快发展。,ཅུང་མགྱོགས་པོའི་སྒོ་ནས་འཕེལ་རྒྱས་སུ་གཏོང་བར་འབད་བརྩོན་བྱེད་དགོས་ཞེས་ནན་གྱིས་བསྟན།
L_F_0_05_336,./TCST/wav/U-Tsang/L_F_0_05/L_F_0_05_336.wav,充分招聘灯光、舞台设计等专业人员。,གློག་དང་གར་སྟེགས་ཇུས་འགོད་པ་སོགས་ཀྱི་ཆེད་ལས་མི་སྣ་གང་བཟང་གང་ལེགས་བསྡུ་རྒྱུ་ཡིན།
L_M_0_06_004,./TCST/wav/U-Tsang/L_M_0_06/L_M_0_06_004.wav,豆本太围绕水电企业的大局。,སྟག་འབུམ་ཐར་གྱིས་ཆུ་གློག་ཁེ་ལས་ཀྱི་ཆེ་ཕྱོགས་ལ་དམིགས་ནས།
L_F_0_05_047,./TCST/wav/U-Tsang/L_F_0_05/L_F_0_05_047.wav,玛曲县欧拉乡召开专题组织生活会,རྨ་ཆུ་རྫོང་དངུལ་རྭ་ཤང་གིས་ཆེད་དོན་རྩ་འཛུགས་འཚོ་བའི་ཚོགས་འདུ་ཚོགས་པ།
m20-La40_11,./TCST/wav/U-Tsang/m20-La40/m20-La40_11.wav,增强防灾减灾和农民避灾自救能力。,གནོད་འཚེ་སེལ་ནུས་དང་ཞིང་པའི་གནོད་གཡོལ་རང་སྐྱོབ་ནུས་པ་ཆེ་རུ་གཏོང་དགོས།
L_F_0_13_085,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_085.wav,瓦诺阿图总理访华,ཝ་ནོ་ཨ་ཐུའུ་ཡི་ཙུང་ལིས་ཀྱིས་ཀྲུང་གོར་འཚམས་འདྲི་བྱས་པ།
L_M_0_18_106,./TCST/wav/U-Tsang/L_M_0_18/L_M_0_18_106.wav,提高居民医保参保率。,སྡོད་དམངས་སྨན་བཅོས་འགན་སྲུང་ཁྲོད་ལ་ཞུགས་ཚད་ཇེ་མཐོར་གཏོང་དགོས་ལ།
L_F_0_02_328,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_328.wav,大昭寺修缮工程有望年内完成,ལྷ་ལྡན་གཙུག་ལག་ཁང་གི་ཉམས་གསོའི་ལས་གྲྭ་ལོ་འདིའི་ནང་ལེགས་གྲུབ་ཐུབ་རེ་ཡོད་པ།
f58-La68_369,./TCST/wav/U-Tsang/f58-La68/f58-La68_369.wav,在你发货前把那个邮政编码填好。,ཁྱེད་ཀྱི་དངོས་པོ་བསྐུར་བའི་སྔོན་དུ་སྦྲག་སྲིད་དེ་ཨང་གྲངས་ཡག་མོ་བྲིས་ཤོག།
maqufb-033,./TCST/wav/Amdo/maqufb/maqufb_033.wav,参保个人在省内和外省指定医疗机构就诊或购药，无需申报，可直接结算。,སྨན་བཅོས་འགན་བཅོལ་ནང་ཞུགས་མཁན་གྱི་མི་སྒེར་གྱིས་ཞིང་ཆེན་ནང་ཁུལ་དང་ཞིང་ཆེན་གཞན་པའི་དམིགས་འཛུགས་སྨན་བཅོས་ལས་ཁུངས་ནས་སྨན་བཅོས་བྱེད་པའམ་སྨན་ཉོ་བར་སྙན་སེང་ཞུ་མི་དགོས་པར་ཐད་ཀར་སྡོམ་རྩིས་རྒྱབ་ཆོག
m20-La40_62,./TCST/wav/U-Tsang/m20-La40/m20-La40_62.wav,不能想象这场斗争在一个短时期内就可以全部解决。,འཐབ་རྩོད་འདི་དུས་ཐུང་ཐུང་ཞིག་ནང་ཐག་གཅོད་གཙང་མར་ཐུབ་བསམ་མི་ཉན།
L_F_0_02_368,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_368.wav,还可以品尝青稞酒等特色小吃。,ནས་ཆང་སོགས་ཁྱད་ཆོས་ལྡན་པའི་ཁ་ཟས་ལ་བྲོ་བ་ཡང་མྱོང་ཐུབ།
m20-La40_57,./TCST/wav/U-Tsang/m20-La40/m20-La40_57.wav,自觉自愿地为社会主义服务，,རང་རྟོགས་རང་མོས་ཀྱིས་སྤྱི་ཚོགས་རིང་ལུགས་ལ་ཞབས་འདེགས་ཞུ་བ།
L_M_0_06_173,./TCST/wav/U-Tsang/L_M_0_06/L_M_0_06_173.wav,继续做好恢复重建工作。,སླར་གསོ་དང་བསྐྱར་འཛུགས་བྱ་བ་མུ་མཐུད་ལེགས་པོར་བསྒྲུབ་པའི་ཐད་ལ་ཐུགས་རེ་བཏོན།
maqufc-042,./TCST/wav/Amdo/maqufc/maqufc_042.wav,中国坚持人民至上，,ཀྲུང་གོས་མི་དམངས་བླ་ན་མེད་པར་བརྩི་རྒྱུ་མཐའ་འཁྱོངས་དང་། 
L_M_0_06_255,./TCST/wav/U-Tsang/L_M_0_06/L_M_0_06_255.wav,进一步完善选人用人机制，,མི་འདེམ་བསྐོ་དང་བཀོལ་སྤྱོད་བྱེད་པའི་སྒྲིག་ལུགས་སྔར་ལས་འཐུས་ཚང་དུ་བཏང་ནས།
L_M_0_20_008,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_008.wav,中共中央政治局常委，,ཀྲུང་གུང་ཀྲུང་དབྱང་ཆབ་སྲིད་ཅུའི་རྒྱུན་ལས་ཨུ་ཡོན།
